,주가,거래량,OBV,기관_순매수누적,외국인_순매수누적,유로,달러,엔화,위안,소비자심리지수,자동차판매,예상종가
20080701_01,81400,694907,6230077,151547,519783,1647.98,1047,988.2,152.71,75,63.5,84700
20080701_02,82950,694907,6230077,151547,519783,1647.98,1047,988.2,152.71,75,63.5,84700
20080701_03,84500,694907,6230077,151547,519783,1647.98,1047,988.2,152.71,75,63.5,84700
20080702_01,80600,366141,5863936,160773,514867,1649.9,1042,982.56,151.98,76.27,63.5,82700
20080702_02,82200,366141,5863936,160773,514867,1649.9,1042,982.56,151.98,76.27,63.5,82700
20080702_03,83800,366141,5863936,160773,514867,1649.9,1042,982.56,151.98,76.27,63.5,82700
20080703_01,80400,403055,5460881,170034,508888,1660.3,1045,986.04,152.51,77.53,63.49,81800
20080703_02,81350,403055,5460881,170034,508888,1660.3,1045,986.04,152.51,77.53,63.49,81800
20080703_03,82300,403055,5460881,170034,508888,1660.3,1045,986.04,152.51,77.53,63.49,81800
20080704_01,80800,252343,5208538,179613,500059,1649.65,1050.4,983.98,153.34,78.78,63.48,81500
20080704_02,81800,252343,5208538,179613,500059,1649.65,1050.4,983.98,153.34,78.78,63.48,81500
20080704_03,82800,252343,5208538,179613,500059,1649.65,1050.4,983.98,153.34,78.78,63.48,81500
20080707_01,79400,330744,5539282,185308,500423,1630.05,1042.9,970.14,152.2,80,63.47,80800
20080707_02,81100,330744,5539282,185308,500423,1630.05,1042.9,970.14,152.2,80,63.47,80800
20080707_03,82800,330744,5539282,185308,500423,1630.05,1042.9,970.14,152.2,80,63.47,80800
20080708_01,78500,407965,5131317,195821,492085,1620.31,1032.7,966.68,150.67,81.2,63.46,81300
20080708_02,79900,407965,5131317,195821,492085,1620.31,1032.7,966.68,150.67,81.2,63.46,81300
20080708_03,81300,407965,5131317,195821,492085,1620.31,1032.7,966.68,150.67,81.2,63.46,81300
20080709_01,76900,741513,4389804,209254,475674,1580,1006.5,937.41,146.85,82.36,63.44,79700
20080709_02,78900,741513,4389804,209254,475674,1580,1006.5,937.41,146.85,82.36,63.44,79700
20080709_03,80900,741513,4389804,209254,475674,1580,1006.5,937.41,146.85,82.36,63.44,79700
20080710_01,76700,595821,3793983,214491,472526,1578.3,1003.5,935.75,146.62,83.49,63.42,78000
20080710_02,77600,595821,3793983,214491,472526,1578.3,1003.5,935.75,146.62,83.49,63.42,78000
20080710_03,78500,595821,3793983,214491,472526,1578.3,1003.5,935.75,146.62,83.49,63.42,78000
20080711_01,77000,476394,4270377,213229,466095,1582.13,1003,935.02,146.72,84.57,63.39,78000
20080711_02,78300,476394,4270377,213229,466095,1582.13,1003,935.02,146.72,84.57,63.39,78000
20080711_03,79600,476394,4270377,213229,466095,1582.13,1003,935.02,146.72,84.57,63.39,78000
20080714_01,77600,314606,3955771,214599,461117,1594.7,1004.6,941.96,147.15,85.6,63.37,78900
20080714_02,78450,314606,3955771,214599,461117,1594.7,1004.6,941.96,147.15,85.6,63.37,78900
20080714_03,79300,314606,3955771,214599,461117,1594.7,1004.6,941.96,147.15,85.6,63.37,78900
20080715_01,75600,313656,3642115,217446,459521,1613.26,1010.5,956.73,148.02,86.58,63.34,78200
20080715_02,76800,313656,3642115,217446,459521,1613.26,1010.5,956.73,148.02,86.58,63.34,78200
20080715_03,78000,313656,3642115,217446,459521,1613.26,1010.5,956.73,148.02,86.58,63.34,78200
20080716_01,76000,303282,3945397,224357,455045,1605.8,1009.3,968.15,148.1,87.5,63.3,76400
20080716_02,76950,303282,3945397,224357,455045,1605.8,1009.3,968.15,148.1,87.5,63.3,76400
20080716_03,77900,303282,3945397,224357,455045,1605.8,1009.3,968.15,148.1,87.5,63.3,76400
20080717_01,77000,274834,3670563,226186,450133,1605.29,1012.8,962.55,148.57,88.36,63.27,77000
20080717_02,77950,274834,3670563,226186,450133,1605.29,1012.8,962.55,148.57,88.36,63.27,77000
20080717_03,78900,274834,3670563,226186,450133,1605.29,1012.8,962.55,148.57,88.36,63.27,77000
20080718_01,76900,253429,3923992,228720,450818,1607.68,1013.8,953.72,148.72,89.14,63.23,77000
20080718_02,78000,253429,3923992,228720,450818,1607.68,1013.8,953.72,148.72,89.14,63.23,77000
20080718_03,79100,253429,3923992,228720,450818,1607.68,1013.8,953.72,148.72,89.14,63.23,77000
20080721_01,78200,533862,4457854,236991,440800,1617.95,1019.5,956.38,149.57,89.85,63.2,77300
20080721_02,79300,533862,4457854,236991,440800,1617.95,1019.5,956.38,149.57,89.85,63.2,77300
20080721_03,80400,533862,4457854,236991,440800,1617.95,1019.5,956.38,149.57,89.85,63.2,77300
20080722_01,79300,191384,4649238,239045,440299,1619.51,1017.6,955.13,149.3,90.47,63.16,79800
20080722_02,80050,191384,4649238,239045,440299,1619.51,1017.6,955.13,149.3,90.47,63.16,79800
